STATE	MRT	STD. DEV

P_up=N(0.4,0.4)	P_perturb = 0.1
000	49.93	21.60011805523294
001	241.22	54.699283359108094
010	251.42	66.78415680384083
011	55.7	23.4574082114798
100	256.04	66.65717065702684
101	57.41	25.058369859190762
110	58.57	24.63706760148212
111	30.71	20.256996322258637

P_up=N(0.4,0.4)	P_perturb = 0.3
000	69.36	15.928289299231102
001	220.79	29.29173774291993
010	213.29	30.879862370159618
011	82.72	17.125466417005992
100	211.05	33.66077093591292
101	82.29	17.954550955119988
110	79.24	16.326126301116258
111	42.26	14.707562680471568

P_up=N(0.4,0.4)	P_perturb = 0.5
000	76.07	15.176465332876427
001	193.89	26.500903758173983
010	199.41	23.514716668503578
011	93.86	12.541945622589822
100	195.95	22.660262575707282
101	93.12	13.642052631477421
110	95.89	15.76889025898779
111	52.81	14.468375859093515

P_up=N(0.4,0.4)	P_perturb = 0.7
000	80.66	12.457303078917203
001	182.26	19.082253535680735
010	185.28	19.253093257967667
011	99.57	12.562846015135264
100	187.25	17.294724629204133
101	101.71	11.29627814813357
110	103.65	13.511754142227426
111	60.62	13.033633415130257

P_up=N(0.4,0.4)	P_perturb = 0.9
000	86.4	12.653062870309308
001	174.3	14.756354563373707
010	174.91	16.849388712947423
011	106.46	12.930908707434293
100	177.21	15.554610249054779
101	107.44	11.491144416462618
110	108.75	10.671808656455568
111	65.53	11.442425442186634
