STATE	MRT	STD. DEV

P_up=N(0.4,0.4)	P_perturb = 0.1
000	6.98	8.90503228517449
001	300.36	251.16590214437946
010	329.63	248.7500615075301
011	6.18	7.013387198779204
100	340.3	260.7888226132401
101	6.65	7.51448601036691
110	7.35	8.386149295117514
111	3.55	3.2384409829422554

P_up=N(0.4,0.4)	P_perturb = 0.3
000	17.22	11.375042857062123
001	300.38	137.85128073398522
010	312.57	135.17938119402677
011	19.14	13.751378112756553
100	313.98	146.9529843181145
101	17.07	12.918401603913697
110	16.87	15.590801775405907
111	3.77	3.913706682928602

P_up=N(0.4,0.4)	P_perturb = 0.5
000	29.02	13.98855246263887
001	273.41	97.93172060165185
010	297.57	97.40957396478028
011	29.0	16.755297669692414
100	306.14	96.6046603430704
101	28.66	15.346804227590837
110	33.0	15.25647403563484
111	4.2	4.58475735453906

P_up=N(0.4,0.4)	P_perturb = 0.7
000	42.65	17.568366457926587
001	281.41	79.24583206705574
010	277.29	84.75155396805418
011	39.37	19.81244810718756
100	281.82	77.77073742738975
101	37.67	17.97779463671782
110	37.64	16.3887278334836
111	3.15	3.33878720495931

P_up=N(0.4,0.4)	P_perturb = 0.9
000	51.99	17.095903017974805
001	270.07	60.95723993095488
010	266.32	59.46240492950146
011	50.5	19.238243163033363
100	259.77	63.81345547766553
101	48.11	18.69967646778949
110	49.65	18.684953839921576
111	4.59	4.35452638067563
