STATE	MRT	STD. DEV

P_update=0.1	P_perturb = 0.1
00	159.34	31.586459124124694
01	343.45	56.564896358077064
10	333.82	52.413047993796354
11	164.39	32.809113063293864

P_update=0.1	P_perturb = 0.3
00	205.89	21.352702405082127
01	290.75	29.30951210784649
10	289.88	30.901223276757182
11	214.48	20.056161148136002

P_update=0.1	P_perturb = 0.5
00	223.14	18.74034151236311
01	273.49	21.8766976484112
10	276.84	22.22328508569334
11	227.53	18.214529914329383

P_update=0.1	P_perturb = 0.7
00	230.21	15.087276096101641
01	268.64	15.9025281009027
10	268.68	17.615833786681797
11	233.47	14.452304314537527

P_update=0.1	P_perturb = 0.9
00	234.4	11.656757696718243
01	265.96	12.479519221508495
10	263.46	12.6161959401398
11	237.18	11.239555151339399
