STATE	MRT	STD. DEV

P_up=N(0.4,0.1)	P_perturb = 0.1
000	37.37	10.425598304174203
001	281.85	68.76923367320593
010	267.33	61.845138046575656
011	47.12	15.911178460440949
100	268.72	75.62553537000582
101	45.96	16.52931940522658
110	43.71	15.52178791247967
111	8.94	4.971559111586626

P_up=N(0.4,0.1)	P_perturb = 0.3
000	67.76	10.60577201338969
001	220.1	29.295904150580505
010	220.58	30.410254849310288
011	84.15	16.397179635534886
100	216.66	30.578822737312827
101	81.98	15.236784437669254
110	81.29	14.780592004381962
111	28.48	7.658302684015564

P_up=N(0.4,0.1)	P_perturb = 0.5
000	85.49	12.508792907391184
001	195.09	22.974810118910668
010	195.69	21.82232572390028
011	96.45	15.503144842257006
100	194.33	24.78550181053432
101	97.52	14.129033937251336
110	95.25	13.131926743627531
111	41.18	7.652947144727971

P_up=N(0.4,0.1)	P_perturb = 0.7
000	92.16	9.243073082043656
001	175.88	20.334837102863645
010	182.23	17.521332711868695
011	103.25	12.894475561262661
100	178.86	20.010507239947717
101	106.0	13.195453762565348
110	107.73	12.533838199051397
111	54.89	9.09053903792289

P_up=N(0.4,0.1)	P_perturb = 0.9
000	96.59	8.19279561566136
001	171.37	13.485291987940046
010	168.29	13.03863106311395
011	110.09	11.138307770931814
100	167.99	13.322533542836362
101	112.28	11.400070175222607
110	110.01	10.232785544513282
111	64.38	7.838086501181267
