STATE	MRT	STD. DEV

P_up=N(0.4,0.1)	P_perturb = 0.1
000	35.02	10.70698837208671
001	405.99	65.88148374164018
010	79.73	26.319899315916846
011	124.89	31.882250547914587
100	259.25	59.034629667678956
101	55.57	16.154414257409645
110	30.77	12.713658010187313
111	9.78	6.0059637028540225

P_up=N(0.4,0.1)	P_perturb = 0.3
000	60.74	11.879074037987978
001	259.41	35.897101554303795
010	120.45	21.363227752378616
011	148.82	21.505524871530106
100	210.48	32.636629727960575
101	93.55	16.3317941451636
110	71.88	13.357604575671493
111	35.67	8.018796667829905

P_up=N(0.4,0.1)	P_perturb = 0.5
000	74.3	10.205390732353171
001	214.11	22.101988598313955
010	133.9	18.06792738528689
011	149.28	18.258192681642946
100	185.89	21.46946436220522
101	102.64	13.838728265270621
110	91.73	15.362197108486793
111	49.15	9.085565474971824

P_up=N(0.4,0.1)	P_perturb = 0.7
000	85.47	10.274682476845696
001	190.57	17.22745192998663
010	135.54	15.545687504899872
011	145.84	15.393972846539647
100	173.67	17.375301436234135
101	111.04	12.964505389716955
110	96.94	12.393401470137244
111	61.93	9.48710177029845

P_up=N(0.4,0.1)	P_perturb = 0.9
000	93.55	9.066835170002816
001	178.82	14.309004158221494
010	134.37	13.831597883108083
011	142.46	13.220756408012365
100	163.15	13.70866514289411
101	114.0	12.188519188154071
110	103.86	12.392755948537033
111	70.79	8.998105356129145
