STATE	MRT	STD. DEV

P_up=N(0.4,0.1)	P_perturb = 0.1
000	35.03	11.780029711337743
001	273.8	62.7284624393106
010	264.34	66.7625973131663
011	43.14	14.128708362762678
100	286.37	60.592516864708635
101	46.06	15.199223664384968
110	44.99	16.77944873945506
111	7.27	4.187732083120887

P_up=N(0.4,0.1)	P_perturb = 0.3
000	65.85	13.210128689759234
001	216.93	34.26259038660095
010	219.83	34.580067958290655
011	82.26	14.13903815681958
100	221.17	32.45953018760438
101	83.18	15.199592099790047
110	83.42	16.119044636702263
111	28.36	7.935389089389379

P_up=N(0.4,0.1)	P_perturb = 0.5
000	83.44	12.180574699085426
001	193.87	23.124729187603474
010	192.19	21.83103066737803
011	98.71	12.841569218752046
100	195.46	21.127905717320875
101	95.67	12.31913552161839
110	98.15	15.374898373647872
111	43.51	8.23103274200753

P_up=N(0.4,0.1)	P_perturb = 0.7
000	91.71	10.425252994532075
001	179.12	15.292010986132595
010	178.42	17.739323549673475
011	104.72	11.897966212760902
100	180.56	16.273487640945316
101	106.16	13.093295994515666
110	105.54	13.86969357988849
111	54.77	7.785698427244662

P_up=N(0.4,0.1)	P_perturb = 0.9
000	95.33	10.513852766707359
001	167.49	12.621802565402454
010	169.64	15.008344345729812
011	110.67	10.135141834232021
100	171.09	14.326964088738409
101	109.12	12.329055113835771
110	112.01	11.440712390406466
111	65.65	8.352694176132633
