STATE	MRT	STD. DEV

P_up=N(0.4,0.1)	P_perturb = 0.1
000	144.55	31.38992672817189
001	52.07	15.613619055171032
010	54.3	16.129786111415118
011	231.12	64.69471075752638
100	416.23	64.48470438793994
101	45.57	13.9558267401111
110	42.12	12.19203018368967
111	15.04	7.224846019120408

P_up=N(0.4,0.1)	P_perturb = 0.3
000	170.6	24.413111231467404
001	87.76	14.954678197808203
010	91.58	16.161175699806
011	197.15	32.198874203922095
100	264.25	34.46893528961984
101	77.97	15.096658570690403
110	74.74	13.937445964020812
111	36.95	8.49749963224477

P_up=N(0.4,0.1)	P_perturb = 0.5
000	165.27	19.334350260611295
001	106.04	15.759390851171881
010	105.25	13.686033026410538
011	179.76	22.454451674445313
100	212.42	25.21276660741538
101	90.67	14.587703726083829
110	89.37	12.189876947697217
111	52.22	10.049457696811306

P_up=N(0.4,0.1)	P_perturb = 0.7
000	161.82	17.380667421016952
001	111.98	11.470815141043813
010	112.35	12.409169996417972
011	168.15	19.24909088762376
100	189.46	16.910008870488507
101	96.02	10.408631033906428
110	98.53	12.355124442918411
111	62.69	9.731079076854735

P_up=N(0.4,0.1)	P_perturb = 0.9
000	155.53	11.238732134898491
001	117.58	10.40305724294546
010	116.61	10.893938681670647
011	158.05	14.302709533511473
100	176.75	14.423851774058136
101	102.49	9.17550543566947
110	103.54	9.715369267300137
111	70.45	8.508084390742725
