STATE	MRT	STD. DEV

P_up=N(0.4,0.1)	P_perturb = 0.1
00	320.46	52.3311417800147
01	324.72	62.49257235864115
10	311.68	63.549646733872564
11	44.14	11.749910637958061

P_up=N(0.4,0.1)	P_perturb = 0.3
00	297.55	32.3500772796604
01	298.35	33.456053263946124
10	308.23	31.900424762062336
11	96.87	16.67852211678241

P_up=N(0.4,0.1)	P_perturb = 0.5
00	291.63	19.538503013281236
01	294.14	21.73569414580542
10	288.98	20.33370600751373
11	126.25	13.835732723639902

P_up=N(0.4,0.1)	P_perturb = 0.7
00	284.36	14.329354486507757
01	283.81	16.268186745916093
10	285.09	16.482169153360854
11	147.74	11.848729889739237

P_up=N(0.4,0.1)	P_perturb = 0.9
00	279.07	11.80021609971614
01	282.23	14.309336113181491
10	277.48	13.835085832765909
11	162.22	11.478309980132092
