STATE	MRT	STD. DEV

P_up=N(0.4,0.1)	P_perturb = 0.1
00	319.7	49.72695446133817
01	313.11	57.8299048935756
10	325.76	59.58877746690227
11	42.43	10.428091867642902

P_up=N(0.4,0.1)	P_perturb = 0.3
00	302.92	24.81962127027727
01	299.49	30.566810432231886
10	303.91	34.24298322284436
11	94.68	13.091126765867022

P_up=N(0.4,0.1)	P_perturb = 0.5
00	291.52	20.49315983444232
01	294.72	21.974112041217957
10	290.72	21.811043074552853
11	124.04	14.67100541885252

P_up=N(0.4,0.1)	P_perturb = 0.7
00	286.55	14.898573757242671
01	284.79	15.669266096406686
10	285.08	15.247740816265209
11	144.58	12.933042952066618

P_up=N(0.4,0.1)	P_perturb = 0.9
00	277.9	13.022672536772166
01	277.74	14.144695118665513
10	282.47	14.048811337618567
11	162.89	11.663528625591828
