STATE	MRT	STD. DEV

P_update=0.1	P_perturb = 0.1
000	90.09	20.8014879275498
001	187.34	57.68608497722826
010	193.64	56.47982294589812
011	94.72	33.12433546503235
100	187.91	59.737943553490354
101	96.28	31.13810527312155
110	102.34	31.523711710393496
111	48.68	17.342364314014393

P_update=0.1	P_perturb = 0.3
000	114.36	23.054509320304348
001	151.9	26.19561031928823
010	152.37	26.599870300435676
011	114.98	21.01094000752941
100	160.76	27.05554287017727
101	112.01	20.464356818624914
110	114.73	25.23721656601615
111	79.89	16.966964961359473

P_update=0.1	P_perturb = 0.5
000	116.79	15.026839321693702
001	145.5	18.196977771047585
010	140.71	19.031182306940366
011	117.64	15.572103261923228
100	145.78	18.175577019726223
101	120.58	16.546407465066245
110	118.98	17.13183002483973
111	95.02	14.819568144854964

P_update=0.1	P_perturb = 0.7
000	119.75	14.278217675886582
001	138.92	13.953981510665693
010	137.17	16.256724762386796
011	120.73	14.696839796364387
100	136.22	18.07793129757938
101	121.73	13.640274923915573
110	120.92	12.955832663321953
111	105.56	13.573002615486375

P_update=0.1	P_perturb = 0.9
000	121.05	12.172407321479183
001	133.82	14.389148689203264
010	136.11	10.783223080322506
011	122.43	12.329034836514982
100	137.09	12.773484254501588
101	119.34	9.627273757404014
110	122.89	13.373776579560465
111	108.27	11.40601157285052
