STATE	MRT	STD. DEV

P_update=0.1	P_perturb = 0.1
000	42.32	19.79741397253692
001	91.28	28.021448927562613
010	94.41	36.98191314683436
011	187.61	57.134909643754575
100	98.67	30.4401231929176
101	188.23	58.164225259174565
110	203.99	59.455612855305766
111	94.49	28.13698455769559

P_update=0.1	P_perturb = 0.3
000	85.58	18.50252955679304
001	112.58	22.513631426315925
010	117.01	21.250174116933724
011	152.74	26.63629854165177
100	112.95	21.42819404429594
101	149.64	30.25905484313745
110	155.89	28.945084211312977
111	114.61	20.870503108454287

P_update=0.1	P_perturb = 0.5
000	96.97	15.634228474728134
001	118.0	17.03819239238717
010	119.12	16.285134325512946
011	147.23	20.467464425277498
100	115.49	15.904398762606526
101	138.93	20.277699573669594
110	146.96	17.814555846273574
111	118.3	15.400973995173162

P_update=0.1	P_perturb = 0.7
000	102.56	13.25090185610021
001	121.2	12.521980673998822
010	119.51	14.45717468940595
011	138.43	15.305067788154354
100	120.98	14.238665667821547
101	138.64	14.172169911484973
110	139.38	13.986979659669203
111	120.3	14.369063991784573

P_update=0.1	P_perturb = 0.9
000	108.35	11.08636550001848
001	121.72	11.225934259561651
010	121.58	13.440372018660792
011	134.61	12.801480383143193
100	121.83	11.729497005413318
101	135.5	13.71459077041674
110	136.34	11.350083700131908
111	121.07	10.99841352195852
