STATE	MRT	STD. DEV

P_update=0.1	P_perturb = 0.1
000	153.35	41.65246091169164
001	100.7	35.066650823824055
010	104.06	30.080166222944978
011	182.49	47.639583331511204
100	227.07	53.51770828426793
101	89.97	32.16129817031645
110	87.14	28.02713684984608
111	56.22	21.057815651201814

P_update=0.1	P_perturb = 0.3
000	142.21	26.473494291460657
001	117.79	22.656696581805566
010	116.83	23.54827169878928
011	147.51	29.243972028436904
100	165.82	30.588030338679864
101	110.31	23.01334178253997
110	111.18	23.69615158628084
111	89.35	22.204672931615093

P_update=0.1	P_perturb = 0.5
000	139.16	20.196395718048308
001	125.86	18.8202125386511
010	122.61	18.938793520179686
011	138.89	18.013270108450605
100	145.91	19.10345256753344
101	116.07	18.383283167051527
110	113.43	16.531941809720962
111	99.07	16.443390769546287

P_update=0.1	P_perturb = 0.7
000	137.97	16.456886096707358
001	123.17	16.508818855387567
010	123.07	14.69370953843855
011	134.72	16.90507616072758
100	140.13	15.26149075287208
101	116.99	13.268379705148629
110	118.28	14.732331790996291
111	106.67	13.967143587720432

P_update=0.1	P_perturb = 0.9
000	133.93	11.739041698537408
001	124.46	12.295869225069044
010	124.81	13.154235059477992
011	136.0	11.95909695587422
100	137.45	12.947103923271799
101	116.72	12.541196115203684
110	118.79	11.809568154678646
111	108.84	10.773782993916297
