STATE	MRT	STD. DEV

P_update=0.9	P_perturb = 0.1
000	94.79	19.704463961244926
001	25.29	7.446200373344784
010	23.51	7.184003062360149
011	253.58	80.2392896279622
100	567.67	79.71788444257662
101	17.51	6.1846503539003725
110	17.47	6.512226961646837
111	1.18	1.252038338071163

P_update=0.9	P_perturb = 0.3
000	171.22	19.955741028586235
001	56.16	9.723908679126929
010	55.91	8.863515104065655
011	242.0	35.898467933882635
100	392.37	37.43545244818072
101	39.77	8.258153546647096
110	40.24	8.506609195208158
111	3.33	1.9649681931267997

P_update=0.9	P_perturb = 0.5
000	187.82	18.825716453829852
001	73.14	11.259680279652704
010	73.24	10.25389682023376
011	228.03	26.213528949761802
100	318.74	24.64289755690268
101	56.51	9.132902057944122
110	57.1	9.61613227862429
111	6.42	2.6577434037167698

P_update=0.9	P_perturb = 0.7
000	198.52	14.939531451822711
001	85.85	9.57327007871396
010	86.86	8.991128961370757
011	213.65	22.718439647123656
100	270.91	25.120547366647887
101	68.31	10.09722239034082
110	68.4	9.156418513807678
111	8.5	2.8618176042508368

P_update=0.9	P_perturb = 0.9
000	193.74	13.749632722367533
001	94.61	10.466035543604846
010	95.06	10.20178415768536
011	208.01	15.380178802601742
100	242.79	16.735169553966283
101	77.42	8.253702199619271
110	78.55	9.540833296940052
111	10.82	3.299636343599094
