STATE	MRT	STD. DEV

P_update=0.1	P_perturb = 0.1
000	99.46	31.923477254209008
001	154.46	44.23966998068589
010	97.29	29.682754252259002
011	209.92	51.49013109324932
100	193.75	56.479266107129966
101	91.88	29.514159313793776
110	88.51	28.817874661397223
111	65.73	21.138048632738073

P_update=0.1	P_perturb = 0.3
000	123.76	22.402731976256824
001	139.85	25.002549869963264
010	118.46	22.95535667333444
011	155.85	29.8634810429059
100	151.36	26.477356363504267
101	108.45	20.402634633791784
110	109.75	20.74481863020258
111	93.52	18.57120351511985

P_update=0.1	P_perturb = 0.5
000	125.1	16.442323436789582
001	135.19	19.767496047805345
010	119.15	17.39906606688991
011	142.77	20.778765603375
100	141.03	21.143535655135825
101	119.35	14.831301358950267
110	113.57	16.653080796056926
111	104.84	16.635937003968245

P_update=0.1	P_perturb = 0.7
000	122.92	13.889334037310789
001	134.57	16.273447698628583
010	119.92	13.79034444819998
011	142.76	17.381668504490587
100	137.26	15.788996168217915
101	120.62	14.866593422839006
110	113.96	16.504496357053736
111	108.99	12.48558769141445

P_update=0.1	P_perturb = 0.9
000	125.78	13.542953887538715
001	131.05	10.941092267228168
010	121.79	10.791010147340238
011	135.59	12.47645382310214
100	135.0	11.714094075087496
101	121.03	11.020394729772613
110	118.48	11.348550568244388
111	112.28	10.412569327500298
