STATE	MRT	STD. DEV

P_update=0.1	P_perturb = 0.1
00	284.22	55.85598983099306
01	282.71	57.52917433789573
10	289.29	57.902209802390104
11	144.78	37.077373153987054

P_update=0.1	P_perturb = 0.3
00	268.95	26.04817651967216
01	268.4	29.752646941070637
10	266.23	28.97683730154138
11	197.42	23.941253100036345

P_update=0.1	P_perturb = 0.5
00	261.39	18.409179775318616
01	260.1	19.447107754110892
10	264.75	17.470761288507152
11	214.76	17.794448572518338

P_update=0.1	P_perturb = 0.7
00	260.26	15.147026110758507
01	258.04	15.195341391360708
10	258.78	17.095367793645153
11	223.92	15.290964652369059

P_update=0.1	P_perturb = 0.9
00	256.95	11.897373659762058
01	257.38	13.73009832448406
10	257.4	14.110279940525631
11	229.27	11.84301904076828
