STATE	MRT	STD. DEV

P_update=0.9	P_perturb = 0.1
00	51.54	12.14695023452389
01	689.6	57.078542378025034
10	253.64	55.03190347425755
11	6.22	2.5122897922015284

P_update=0.9	P_perturb = 0.3
00	119.08	13.089446130375418
01	591.46	30.03378763992314
10	275.65	30.989474019415045
11	14.81	4.014212251488454

P_update=0.9	P_perturb = 0.5
00	156.49	12.61784054424528
01	539.71	25.891425221489836
10	282.15	24.72463346543281
11	22.65	4.895661344496778

P_update=0.9	P_perturb = 0.7
00	182.36	12.008763466735449
01	502.92	21.286465183303687
10	286.31	18.200381864125816
11	29.41	4.699138218865242

P_update=0.9	P_perturb = 0.9
00	200.28	11.020961845501509
01	472.39	15.322463901083273
10	291.43	14.20088377531483
11	36.9	5.42125446737192
