STATE	MRT	STD. DEV

P_update=0.1	P_perturb = 0.1
000	111.55	35.31469240981719
001	199.55	53.74055731009867
010	205.24	55.966082585794766
011	99.54	30.51341344392659
100	156.06	51.82235424987946
101	84.77	32.09637206912956
110	95.01	25.48626885207013
111	49.28	19.34635883053966

P_update=0.1	P_perturb = 0.3
000	127.37	23.741800689922403
001	155.79	31.39436095861803
010	157.39	25.15348683582457
011	110.09	21.224087730689394
100	142.78	25.851723346809976
101	111.08	23.49667210478965
110	114.38	21.263480430070707
111	82.12	18.561939553828957

P_update=0.1	P_perturb = 0.5
000	120.81	16.40834848484149
001	148.64	19.442489552523874
010	145.69	18.1100496962322
011	122.02	17.349916426311683
100	132.07	17.46611290470779
101	117.74	17.723216412378427
110	116.61	15.278674680743746
111	97.42	17.508957707413654

P_update=0.1	P_perturb = 0.7
000	121.18	13.296901894802412
001	140.4	16.389630868326474
010	136.51	14.411450308695512
011	121.71	13.737754547232237
100	133.74	13.88713073316443
101	119.34	12.990165510877834
110	121.06	15.690646895523459
111	107.06	11.223920883541544

P_update=0.1	P_perturb = 0.9
000	125.26	11.962123557295335
001	135.58	12.025123699987455
010	136.83	13.292144296538464
011	120.62	11.361144308563288
100	132.89	11.54633708151637
101	120.86	11.086045282245603
110	121.35	11.68877666824035
111	107.61	10.075609162725597
