STATE	MRT	STD. DEV

P_update=0.1	P_perturb = 0.1
000	115.41	37.20728288924092
001	200.01	58.96634548621781
010	222.48	59.438956922207176
011	102.27	35.75300127262046
100	148.74	48.58407558037921
101	82.68	32.54193602107902
110	86.71	29.46092157418026
111	42.7	18.832153355365392

P_update=0.1	P_perturb = 0.3
000	124.27	21.500165115645043
001	158.06	26.86812981954643
010	160.35	29.627141272826172
011	113.09	21.361692348688106
100	146.03	27.716224490359433
101	110.25	22.93441736779027
110	110.25	21.700864038097652
111	78.7	17.137969541342986

P_update=0.1	P_perturb = 0.5
000	121.19	16.54913592910518
001	147.52	23.139351762743914
010	145.27	19.358644064086718
011	118.64	15.859709959516914
100	134.88	18.630770247093917
101	119.49	18.638398536354995
110	116.25	17.56096523543054
111	97.76	16.270291945751925

P_update=0.1	P_perturb = 0.7
000	125.14	13.492234803767685
001	139.91	15.745535875288589
010	137.17	15.504873427409848
011	120.52	12.23640470072807
100	135.69	15.171483118007943
101	121.05	13.445724227426354
110	117.7	13.73426372252987
111	103.82	11.564929744706623

P_update=0.1	P_perturb = 0.9
000	126.73	12.303540140951302
001	137.55	11.816408083677544
010	136.93	13.530894279388928
011	122.21	11.423917891861793
100	131.39	12.146518019580755
101	119.43	13.097522666519803
110	119.73	11.945589144115077
111	107.03	11.219139895731757
