STATE	MRT	STD. DEV

P_update=0.1	P_perturb = 0.1
000	40.89	19.876063493559283
001	87.37	30.63026444547941
010	86.73	33.857895681805154
011	179.25	52.001033643572896
100	80.14	32.430855677888
101	175.81	52.739680507185476
110	168.78	54.50515205005853
111	182.03	50.72168274022462

P_update=0.1	P_perturb = 0.3
000	79.72	21.83258115752693
001	111.03	21.014021509458868
010	107.45	21.48551837866613
011	152.15	26.114124530606038
100	106.3	19.775995550161312
101	144.2	28.507542861495445
110	146.51	25.936266115229465
111	153.64	28.773084645202708

P_update=0.1	P_perturb = 0.5
000	92.08	14.67220501492533
001	114.45	18.201854301141957
010	114.77	19.846337193547832
011	139.67	20.767308443801763
100	115.81	19.736613184637328
101	141.99	22.864599274861565
110	140.57	19.092540428135802
111	141.66	19.238097619047473

P_update=0.1	P_perturb = 0.7
000	102.87	13.164843333667136
001	119.33	13.582381970773756
010	118.97	14.049523123579675
011	135.97	13.76477751363966
100	116.19	12.027214972719163
101	135.8	16.91744661584602
110	135.02	15.709856778468733
111	136.85	14.04021011238792

P_update=0.1	P_perturb = 0.9
000	105.85	10.76231852344094
001	119.2	11.379806676741042
010	119.45	11.440607501352364
011	131.5	11.708543888972702
100	121.59	11.261522987589201
101	135.06	11.421751179219411
110	134.89	11.708027160884109
111	133.46	12.725109036860943
