STATE	MRT	STD. DEV

P_update=0.9	P_perturb = 0.1
000	0.11	0.3973663297261106
001	9.81	4.6404633389350245
010	10.94	4.270409816399358
011	241.77	61.81631742509416
100	9.99	4.759191107740895
101	230.28	54.66279905017671
110	243.45	58.222225137828595
111	254.65	53.776458604114126

P_update=0.9	P_perturb = 0.3
000	1.14	1.1403508232118746
001	29.38	6.151064948445919
010	28.43	7.68408094699685
011	221.06	30.801889552428435
100	29.98	7.311607210456535
101	227.8	34.04115156689033
110	231.08	31.400853491585224
111	232.13	27.081231508186626

P_update=0.9	P_perturb = 0.5
000	2.43	1.58905632373431
001	44.71	8.67789721073026
010	43.94	8.663509681416649
011	216.15	21.8061344579914
100	43.42	8.8940204632101
101	213.48	23.678040459463702
110	218.97	23.448008444215468
111	217.9	21.623366990364843

P_update=0.9	P_perturb = 0.7
000	3.79	1.8989207461081676
001	58.62	10.034719727027756
010	57.4	8.088263101556477
011	208.94	17.798775238762918
100	56.93	9.098631765271083
101	202.72	18.984772845625518
110	204.14	19.782325444699367
111	208.46	15.977747025159712

P_update=0.9	P_perturb = 0.9
000	5.93	2.818705376586918
001	69.77	8.919478684317824
010	69.18	7.896049645234001
011	194.88	17.222822068406792
100	70.53	9.572309021338581
101	196.67	15.994408397937073
110	196.91	15.946846083160143
111	197.13	13.261715575294172
