STATE	MRT	STD. DEV

P_update=0.9	P_perturb = 0.1
000	0.24	0.4498888751680797
001	11.94	5.518731738361632
010	11.13	4.61661131134082
011	255.69	63.75636360395721
100	10.57	5.3070801765189115
101	232.49	61.44078368640817
110	238.21	62.7053897205017
111	240.73	47.89422825351714

P_update=0.9	P_perturb = 0.3
000	1.2	1.131370849898476
001	30.0	7.343023900274328
010	29.2	7.561745830163825
011	231.2	33.71409200912876
100	30.84	8.68760035913255
101	222.31	30.896503038369893
110	231.11	31.654982230290383
111	225.14	26.759304923708314

P_update=0.9	P_perturb = 0.5
000	2.59	1.6558683522550939
001	45.2	8.0
010	45.06	8.163112151624526
011	217.84	21.048857451177724
100	44.69	7.944425718703649
101	212.55	22.014710990608076
110	215.24	22.86093611381651
111	217.83	18.399486405875574

P_update=0.9	P_perturb = 0.7
000	4.08	1.9630588376307012
001	57.04	9.2216267545374
010	57.27	9.59151187248392
011	208.23	18.304565004391662
100	58.58	7.7229269062966015
101	206.96	17.09088646033318
110	202.42	17.831533865598885
111	206.42	15.394271661887743

P_update=0.9	P_perturb = 0.9
000	6.36	2.3896443249990154
001	71.5	8.578461400507669
010	70.92	10.036612974504896
011	194.77	14.465030245388359
100	69.37	8.971794692256394
101	194.29	15.312932442873247
110	199.1	15.354803808580558
111	194.69	13.884304087709978
